id,name,category,base_system,constraint,archetype,structurally_distinct,why_distinct,what_the_constraint_changes,components,nodes,edges
"news-site","News site","Web & API","News site","base","readheavy","no","One story can be 90% of the day’s traffic with no warning.","The straightforward shape, sized for steady load.","7","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search","client>cdn>lb>app,app>cache,app>sql,app>search"
"news-site-readheavy","News site — read-heavy","Web & API","News site","read-heavy","readheavy","no","One story can be 90% of the day’s traffic with no warning.","Reads dominate 50:1; the design lives or dies on hit rate.","8","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,cache:Edge cache","client>cdn>lb>app,app>cache,app>sql,app>search"
"news-site-bursty","News site — burst-tolerant","Web & API","News site","burst-tolerant","readheavy","no","One story can be 90% of the day’s traffic with no warning.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,queue:Surge queue,ratelimiter:Rate limiter","client>cdn>lb>app,app>cache,app>sql,app>search"
"news-site-multiregion","News site — multi-region active-active","Web & API","News site","multi-region active-active","readheavy","no","One story can be 90% of the day’s traffic with no warning.","Two live regions; replication lag becomes a correctness question.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,gslb:Global LB,cdc:Replicator","client>cdn>lb>app,app>cache,app>sql,app>search"
"docs-portal","Documentation portal","Web & API","Documentation portal","base","readheavy","no","Almost entirely cacheable, which makes the search box the only real backend.","The straightforward shape, sized for steady load.","7","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search","client>cdn>lb>app,app>cache,app>sql,app>search"
"docs-portal-readheavy","Documentation portal — read-heavy","Web & API","Documentation portal","read-heavy","readheavy","no","Almost entirely cacheable, which makes the search box the only real backend.","Reads dominate 50:1; the design lives or dies on hit rate.","8","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,cache:Edge cache","client>cdn>lb>app,app>cache,app>sql,app>search"
"docs-portal-bursty","Documentation portal — burst-tolerant","Web & API","Documentation portal","burst-tolerant","readheavy","no","Almost entirely cacheable, which makes the search box the only real backend.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,queue:Surge queue,ratelimiter:Rate limiter","client>cdn>lb>app,app>cache,app>sql,app>search"
"docs-portal-multiregion","Documentation portal — multi-region active-active","Web & API","Documentation portal","multi-region active-active","readheavy","no","Almost entirely cacheable, which makes the search box the only real backend.","Two live regions; replication lag becomes a correctness question.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,gslb:Global LB,cdc:Replicator","client>cdn>lb>app,app>cache,app>sql,app>search"
"saas-dashboard","SaaS dashboard","Web & API","SaaS dashboard","base","fanout","no","Every screen is a dozen small queries the user perceives as one.","The straightforward shape, sized for steady load.","9","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"saas-dashboard-readheavy","SaaS dashboard — read-heavy","Web & API","SaaS dashboard","read-heavy","fanout","no","Every screen is a dozen small queries the user perceives as one.","Reads dominate 50:1; the design lives or dies on hit rate.","10","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,cache:Edge cache","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"saas-dashboard-bursty","SaaS dashboard — burst-tolerant","Web & API","SaaS dashboard","burst-tolerant","fanout","no","Every screen is a dozen small queries the user perceives as one.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","11","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,queue:Surge queue,ratelimiter:Rate limiter","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"saas-dashboard-multiregion","SaaS dashboard — multi-region active-active","Web & API","SaaS dashboard","multi-region active-active","fanout","no","Every screen is a dozen small queries the user perceives as one.","Two live regions; replication lag becomes a correctness question.","11","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,gslb:Global LB,cdc:Replicator","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"public-api","Public REST API","Web & API","Public REST API","base","fanout","no","Third parties retry badly, so the rate limiter is load-bearing.","The straightforward shape, sized for steady load.","9","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"public-api-readheavy","Public REST API — read-heavy","Web & API","Public REST API","read-heavy","fanout","no","Third parties retry badly, so the rate limiter is load-bearing.","Reads dominate 50:1; the design lives or dies on hit rate.","10","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,cache:Edge cache","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"public-api-bursty","Public REST API — burst-tolerant","Web & API","Public REST API","burst-tolerant","fanout","no","Third parties retry badly, so the rate limiter is load-bearing.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","11","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,queue:Surge queue,ratelimiter:Rate limiter","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"public-api-multiregion","Public REST API — multi-region active-active","Web & API","Public REST API","multi-region active-active","fanout","no","Third parties retry badly, so the rate limiter is load-bearing.","Two live regions; replication lag becomes a correctness question.","11","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,gslb:Global LB,cdc:Replicator","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"graphql-gateway","GraphQL gateway","Web & API","GraphQL gateway","base","fanout","no","The client decides the fan-out, so capacity planning has no fixed shape.","The straightforward shape, sized for steady load.","9","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
